EVENTO,VALOR,EMAIL,FECHA,HORA 
LED VERDE,ENCENDIDO,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:21
LED BLANCO,ENCENDIDO,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:22
LED AMARILLO,ENCENDIDO,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:23
LED BLANCO,ENCENDIDO,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:25
LED VERDE,ENCENDIDO,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:26
CONTADOR,1,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:33
CONTADOR,2,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:34
CONTADOR,3,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:34
CONTADOR,4,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:34
CONTADOR,5,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:34
CONTADOR,6,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:34
CONTADOR,7,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:35
CONTADOR,8,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:35
CONTADOR,9,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:35
CONTADOR,10,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:35
CONTADOR,11,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:36
CONTADOR,12,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:36
CONTADOR,13,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:36
CONTADOR,14,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:36
CONTADOR,15,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:36
CONTADOR,16,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:37
CONTADOR,17,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:37
CONTADOR,18,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:37
ILUMINACION ELEVADA,987,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:51
ILUMINACION ELEVADA,999,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:53
ILUMINACION ELEVADA,1001,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:40:58
CONTADOR,21,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:38
CONTADOR,22,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:38
CONTADOR,23,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:40
CONTADOR,24,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:41
CONTADOR,25,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:41
CONTADOR,26,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:41
CONTADOR,27,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:41
CONTADOR,28,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:42
CONTADOR,29,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:42
CONTADOR,0,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:42
CONTADOR,1,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:42
CONTADOR,2,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:42
CONTADOR,3,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:43
CONTADOR,4,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:43
CONTADOR,5,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:43
CONTADOR,6,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:43
CONTADOR,7,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:43
CONTADOR,8,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:44
CONTADOR,9,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:44
CONTADOR,10,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:44
CONTADOR,11,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:44
CONTADOR,12,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:44
CONTADOR,13,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:45
CONTADOR,14,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:45
CONTADOR,15,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:45
CONTADOR,16,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:45
CONTADOR,17,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:45
CONTADOR,18,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:46
CONTADOR,19,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:46
CONTADOR,20,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:46
CONTADOR,21,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:46
CONTADOR,22,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:46
CONTADOR,23,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:41:47
CONTADOR,24,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:33
CONTADOR,25,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:33
CONTADOR,26,aldo.vargas.meza94@gmail.com,mar. feb 20 2018,09:42:34
